topicId,rank,docId,filename
0,0,15,file:/home/delano/Research/Comprehension/Clustering/Input/Binkley2009
0,1,38,file:/home/delano/Research/Comprehension/Clustering/Input/Lawrie2007
0,2,21,file:/home/delano/Research/Comprehension/Clustering/Input/Hofmeister2019
0,3,22,file:/home/delano/Research/Comprehension/Clustering/Input/Beniamini2017
0,4,0,file:/home/delano/Research/Comprehension/Clustering/Input/Sharif2010
0,5,46,file:/home/delano/Research/Comprehension/Clustering/Input/Avidan2017
0,6,18,file:/home/delano/Research/Comprehension/Clustering/Input/Schankin2018
0,7,53,file:/home/delano/Research/Comprehension/Clustering/Input/Butler2010
0,8,50,file:/home/delano/Research/Comprehension/Clustering/Input/Binkley2019
0,9,40,file:/home/delano/Research/Comprehension/Clustering/Input/Binkley2013
0,10,11,file:/home/delano/Research/Comprehension/Clustering/Input/Xu2017
0,11,31,file:/home/delano/Research/Comprehension/Clustering/Input/Butler2009
0,12,33,file:/home/delano/Research/Comprehension/Clustering/Input/Yeh2017
0,13,32,file:/home/delano/Research/Comprehension/Clustering/Input/Geffen2016
0,14,35,file:/home/delano/Research/Comprehension/Clustering/Input/Scalabrino2019
0,15,43,file:/home/delano/Research/Comprehension/Clustering/Input/Miara1983
0,16,27,file:/home/delano/Research/Comprehension/Clustering/Input/Blinman2005
0,17,20,file:/home/delano/Research/Comprehension/Clustering/Input/Dolado2003
0,18,60,file:/home/delano/Research/Comprehension/Clustering/Input/Woodfield1981
0,19,39,file:/home/delano/Research/Comprehension/Clustering/Input/Scalabrino2018
0,20,24,file:/home/delano/Research/Comprehension/Clustering/Input/Jbara2017
0,21,17,file:/home/delano/Research/Comprehension/Clustering/Input/Chaudhary1980
0,22,3,file:/home/delano/Research/Comprehension/Clustering/Input/Oman1990
0,23,59,file:/home/delano/Research/Comprehension/Clustering/Input/kleinschmager2012static
0,24,58,file:/home/delano/Research/Comprehension/Clustering/Input/Medeiros2019
0,25,57,file:/home/delano/Research/Comprehension/Clustering/Input/Arab1992
0,26,56,file:/home/delano/Research/Comprehension/Clustering/Input/Wang2014
0,27,55,file:/home/delano/Research/Comprehension/Clustering/Input/Iselin1988
0,28,54,file:/home/delano/Research/Comprehension/Clustering/Input/Trockman2018
0,29,52,file:/home/delano/Research/Comprehension/Clustering/Input/Schulze2013
0,30,51,file:/home/delano/Research/Comprehension/Clustering/Input/Love1977
0,31,49,file:/home/delano/Research/Comprehension/Clustering/Input/dosSantos2018
0,32,48,file:/home/delano/Research/Comprehension/Clustering/Input/Jbara2014b
0,33,47,file:/home/delano/Research/Comprehension/Clustering/Input/Ajami2019
0,34,45,file:/home/delano/Research/Comprehension/Clustering/Input/Sykes1983
0,35,44,file:/home/delano/Research/Comprehension/Clustering/Input/Fakhoury2019
0,36,42,file:/home/delano/Research/Comprehension/Clustering/Input/Tenny1988
0,37,41,file:/home/delano/Research/Comprehension/Clustering/Input/Siegmund2017
0,38,37,file:/home/delano/Research/Comprehension/Clustering/Input/Ceccato2009
0,39,36,file:/home/delano/Research/Comprehension/Clustering/Input/Wiese2019b
0,40,34,file:/home/delano/Research/Comprehension/Clustering/Input/Maćkowiak2018
0,41,30,file:/home/delano/Research/Comprehension/Clustering/Input/Buse2010
0,42,29,file:/home/delano/Research/Comprehension/Clustering/Input/Fakhoury2019b
0,43,28,file:/home/delano/Research/Comprehension/Clustering/Input/Teasley1994
0,44,26,file:/home/delano/Research/Comprehension/Clustering/Input/Wiese2019
0,45,25,file:/home/delano/Research/Comprehension/Clustering/Input/Boysen1980
0,46,23,file:/home/delano/Research/Comprehension/Clustering/Input/Stefik2013
0,47,19,file:/home/delano/Research/Comprehension/Clustering/Input/Gopstein2018
0,48,16,file:/home/delano/Research/Comprehension/Clustering/Input/Bauer2019
0,49,14,file:/home/delano/Research/Comprehension/Clustering/Input/ONeal1994
0,50,13,file:/home/delano/Research/Comprehension/Clustering/Input/DeYoung1979
0,51,12,file:/home/delano/Research/Comprehension/Clustering/Input/Wiedenbeck1991
0,52,10,file:/home/delano/Research/Comprehension/Clustering/Input/Malaquias2017
0,53,9,file:/home/delano/Research/Comprehension/Clustering/Input/Stefik2011
0,54,8,file:/home/delano/Research/Comprehension/Clustering/Input/Arnaoudova2016
0,55,7,file:/home/delano/Research/Comprehension/Clustering/Input/Oman1988
0,56,6,file:/home/delano/Research/Comprehension/Clustering/Input/Uesbeck2016
